category,location,title,sub_title,desc,open_time,close_time,price,tag,host_id
"['회의실', '세미나실', '다목적홀']",인천 미추홀구 매소홀로 618,콜라보마이스컨벤션센터,맞춤형 멀티 비지니스 공간 콜라보마이스컨벤션센터,"맞춤형 멀티 비즈니스 공간, 콜라보 마이스 컨벤션 센터

대한민국의 신성장동력으로 채택된 마이스(MICE)산업에서 특화된 멀티 비즈니스 공간을 제공하고 더불어 다양한 컨텐츠로 고객을 
만족시킬 콜라보 마이스 컨벤션 센터(Collabo MICE Convention Center, CMCC)를 소개해 드립니다.

경기 인천 랜드마크 문학경기장에 위치한 콜라보 마이스 컨벤션 센터는 전용 면적 총 6,652㎡(약 2,007평) 규모로 준국제회의시설을 
갖춘 CMCC홀을 포함하고 있으며 대규모 주차공간(법정주차 4,000대 및 버스전용주차공간 완비) 및 지하철, 버스 등 대중교통을
 이용한 편리한 접근성을 강점으로 가지고 있습니다.

다양한 비즈니스 관련 행사, 문화 행사 및 특화된 마이스 사업을 위한 최적의 서비스로 만족하실 것을 약속드립니다.

콜라보 마이스 컨벤션 센터
",9,21,360000,,2
"['회의실', '세미나실', '다목적홀', '작업실', '스터디룸']",서울 강남구 강남대로156길 46,쇼피스 나다움 회의실 세미나룸,빔프로젝터 가 준비되어 있는 8인실 회의실 입니다,"가로수길 메인 대로에 있는 공유스튜디오 쇼피스에 있는 8인실 회의실 입니다. 
체광이 정말 좋은 회의실입니다. 따듯한 느낌을 받으시며 다목적 으로 활용이 가능한 곳입니다.
전용 냉온풍기와 빔프로젝터가  준비되어 있습니다.",0,24,10000,,1
"['회의실', '세미나실', '파티룸']",서울 종로구 체부동 143-3,[오픈특가]대나무 정원 도희하우스,"세상에 없던 한옥 비엔비, 대나무정원 도희 하우스","대나무 정원과 함께하는 행복한 시간으로 초대합니다!

★오픈특가 평일 25만원, 주말 35만원!

경복궁 역에서 3분거리

3룸으로 최대 8명 숙박 가능 (퀸침대 2, 슈퍼싱글 1, 쇼파베드 1, 요이불세트 2)

드롱기 토스터, 캡슐 커피 머신, 전자레인지, 전기밥솥, 세탁기, 냉장고, 가스레인지

무료 조식 제공!! 식빵, 콘프레이크, 우유, 캡슐커피(!)까지

주변 사람들과 행복한 하루를 도희하우스에서 보내보세요^^

체크인 15:00 이후, 체크아웃 11:00",0,24,200000,,1
"['세미나실', '파티룸', '카페']",서울 은평구 연서로5길 3,품,은평구에 있는 아지트 같은 느낌의 카페,"은평구 역촌동 주택가 2층에 있는 나만알고 싶은 카페 통대관 가능


•역촌동주민센터 옆 2층에 있는 20평 정도의 공간입니다.

•배달음식, 포장음식 , 주류 반입 가능합니다.

•카페 공간 위치 변경 가능

•당일 예약은 먼저 문의 주세요.

•이용하시기 전 문 열어 드리고, 사용 설명 드리겠습니다.",0,24,30000,,2
"['회의실', '세미나실', '파티룸']",인천 부평구 부평대로 293,바이닐스페이스,쾌적한 1층위치 전면유리창과 깨끗한 회의석,"갈산역 4번출구 바로 앞에 위치한 대안 쉐어 공간 바이닐스페이스입니다.
접근성 좋은 1층에 위치하였고 전면 유리창에 채광이 좋습니다.
깨끗한 회의석 테이블,체어가 마련되어 쾌적한 회의실 및 세미나등의 공간으로 이용 가능합니다.
파티룸 예약도 가능합니다(사전 예약 시 케이터링서비스 제공가능합니다.)",0,24,30000,,2
['작업실'],서울 성동구 성수동1가 22-5,플랜트스튜디오,성수동에 위치한 자연광렌탈스튜디오입니다.,성수동에 위치한 자연광렌탈스튜디오입니다. 넓은 룸으로 구성되어있습니다.,0,24,40000,,1
"['파티룸', '엠티장소']",서울특별시 마포구 동교동 155-35,[11월할인]파티룸무지개홍대2점,우리들 만의 비밀 아지트 * 홍대파티룸 무지개,"아기자기한 공간에서 밤샘 파티로 평생 잊지못할 추억을 만들 수 있는  홍대 파티룸 무지개입니다 :D

당일 예약가능!!!
네이버 톡주세요

홍대 요즘 핫한 연남동  위치한 무지개
친구들과 파티를 꿈꿔왔다면 강추!
*쇼파침대♡싱글침대 ♡
생일파티/기념일/우정파티 등의 모임에 적합해요
파티저격미러볼, 각종 술잔등 비치완료!!

최소2인~8인까지 가능
  4인 이상부터 만원추가



★이용시간/금액
1. Daytime(낮) / (12시~18시)(6시간)
 평일(월~금) :  8만원 > 5만원
 주말(토일) : 10만원 > 8만원

2. Night(저녁) / (20시~10시)(14시간)
 평일(일~목):  14만원> 10만원 
 주말(금토) :18만원 > 14만
*공휴일=주말가격*


**12월,1월, 2월 연말+신년성수기로 요금 인상됩니다**

*위치,분위기,진짜 착.한.가.격 까지 굳굳!!",0,24,50000,,2
"['다목적홀', '파티룸', '엠티장소']",서울 마포구 양화로 25,더케이 루프탑파티룸 오픈할인이벤트,파티룸과 루프탑에서 바베큐파티 즐길수있는 넓은공간,"<루프탑 & 파티룸 >

루프탑과 파티룸을 동시에 이용가능 대형 바베큐그릴 기계가있어 고기파티를 즐길 수 있는 공간

<인원>
기준 8인 / 최대 30~50명
- 기준인원 초과시 1인당 1만원 추가
- 예약인원 입력하면 자동으로 계산됩니다.
- 인원수 다를 경우 (CCTV 확인) 인원추가비 2배 청구
(이용시간 상관 없이 인원추가비 동일하게 적용되오니, 총 입실하는 인원수 빠짐없이 입력해주세요.)

<예약 및 가능 여부>
세부공간 선택에서 원하는 패키지 클릭
→패키지로 예약하기→날짜선택(빈 날짜 예약 가능)
→예약인원 입력→사용료 확인→예약 신청하기

<보증금>
예약 완료하면 문자로 보증금 안내드립니다.
청소보증금 5~8만원(퇴실 후 반환)
별도로 입금해주셔야 예약 확정

<문의>
홈페이지 공지 필수로 읽으신 후에,
기타 문의 사항은 전화로 해주시면 빠르게 답변드립니다.
더 자세한 사항은
https://tkparty.modoo.at 에서 확인해주시길 바랍니다.",0,24,20000,,1
"['세미나실', '파티룸', '엠티장소']",서울 서초구 서초대로73길 40,강남역 파티일주 파티룸,강남역 5분거리 품격있는 오피스텔 파티룸 입니다 ,"** 12월은 올나잇/미드나잇은 예약이 마감되었고 데이타임만 예약이 가능합니다^^**

{당일예약은 전화주세요!! 010 7777 0303}

네이버에 파티일주 검색하면 더 많은 사진을 볼수 있습니다

1. 파티일주는 2019년 10월 18일 오픈한 생일파티, 브라이덜샤워, 워크샵, 세미나, 동호회, 소규모 파티등을 위한 복합문화공간 입니다^^.

2. 샹들리에, 대리석식탁, 엔틱조명,콘솔, 레일조명이 설치되어있어서 이국적인 분위기의 파티분위기를 느끼실 수 있습니다^^

3. 강남역 고층 오피스텔에 위치하고 있고 바로앞에 각종 편의시설이 갖추어져 있습니다

4. 강남역 품격있는 파티룸에서 친구, 연인, 지인분들과추억의  인생샷,잊지못할 아름다운 순간을 사진으로 남기고 가시길
5  강남역 신논현역 도보 5분거리의 품격있는 파티룸 입니다  
   (강남역 10 번출구 , 9 번출구 / 신논현역 6번 출구 )",0,24,60000,,1
"['세미나실', '다목적홀', '파티룸']",서울특별시 관악구 신림동 466-15,당신의 특별한 날은 그린무역에서,"신림역 10분 그린무역, 꽃피우는 2020년","+당일예약도 가능합니다 문의주세요+
+문의는 톡톡이나 카카오톡 ‘그린무역’, 전화가능해요+
+반려견 동반이 가능합니다(추가비용 및 주의사항있어요)+

안녕하세요 게스트님
그린무역이란 이름은 우연히 생겼어요
우연히 만난 이 곳에 '그린무역'이란 회사가 있었던 것!
이 이름처럼 게스트님들과 초록초록기운을
나눌 수 있는 아지트를 만들고 싶어요!

<그린무역 소식>
01 1.5개월마다 바뀌는 컨셉! (1/10-3월)
       이번엔 ‘꽃피우다’입니다
       그린무역만의 감수성으로 파티공간을 준비할께요
02  예쁜 사진후기 작성시!
       스타벅스 커피를 선물로 드려요
03 버그박사에서 매달 방역관리를 받기로 계약 했어요
04 기준인원 6명을 초과하더라도 추가금액없이
      예약가능해요
     (8명까지 추천하지만 더 많은 인원은 문의주세요)
05 이따금 호스트의 기분따라 꽃이나 작은 선물을 두기도 해요 즐겁게 받아주세요!",0,24,50000,,2
"['다목적홀', '파티룸', '엠티장소']",서울특별시 강남구 청담동 132-5,[강남]청담동 파티룸 오펜,우리들만의 공간에서 즐기는 프라이빗파티!!,"우리들만의 공간 오펜에서 남들 눈치 없이 즐거운 파티를 준비해보세요 :)


* 당일 예약은 할인가능 합니다. 호트스에게 직접 문의 주세요.
   카톡ID : pjw1022
   핸드폰 : 010-9183-4384

- 단독사용으로 한팀만 사용할수 있습니다. 
- 청담역 14번출구 도보 3분
- 편의점 도보 10초
- 365일 연중무휴 마트 도보 3분
- 주차장 구비(평일 오후 7시이후 무료, 주말 및 공휴일 무료)


※기준인원(10명) 최대(15명)
 *15인 초과시 체격차에 따라 좌석이 다소 좁을 수 있으니 사전에 꼭 문의주시기 바랍니다.

※입,퇴실시간 조정은 스케쥴에 따라 조정이가능하오니 문의주세요 :)",0,24,200000,,2
